WantWorkLanguage
Swift
Java; Python; Ruby; SQL
C; Python; Rust
Matlab; Python; R; SQL
NA
Clojure; Elixir; Erlang; Haskell; Rust; TypeScript
JavaScript; Julia; Matlab; Python; R; SQL
Clojure; Elixir; Haskell; Scala
F#; Go
C#; Java; Objective-C; Swift
C#; R; SQL
NA
NA
JavaScript; Ruby; Rust; Swift
Assembly; C; C++; Python
C#; F#; JavaScript; R; VB.NET
Clojure
Assembly; Clojure; Go; JavaScript; Rust; Swift; TypeScript
NA
Perl; Python
NA
C#; R; TypeScript
Java; Scala; Swift
Hack; JavaScript; PHP; SQL; Swift
NA
JavaScript; Scala
Go; Java; JavaScript; R; Swift
NA
JavaScript
NA
NA
NA
C++; C#; Haskell
Haskell; Python; R; Rust; TypeScript
C++; Elixir; Python
JavaScript; Python; R
C#; F#; SQL; TypeScript
C#; JavaScript
C#; F#; Haskell; TypeScript
NA
C++; Lua; R
NA
C++; C#; Java; JavaScript; SQL
NA
Clojure; Groovy; JavaScript; Scala
NA
NA
C++; C#; F#; JavaScript; SQL
Clojure; Elixir; JavaScript; Ruby
F#; Go; TypeScript
JavaScript
Assembly; C++; Groovy; Java; Perl; Python
Clojure; Elixir; Go; Ruby
CoffeeScript; Clojure; Go; JavaScript
TypeScript
NA
C#; F#
C#; Go; Java; Scala
C#; F#; Go; JavaScript
NA
Assembly; C; C#; Matlab
Java; Objective-C
PHP
NA
Erlang; F#; R; SQL; Swift
Go; JavaScript
C++; C#; Python
C++; Java; Python
Common Lisp; Clojure; Erlang; Go; JavaScript; Ruby; SQL
NA
Elixir; JavaScript
JavaScript; PHP; Rust
C#; F#; JavaScript; Python; Rust; TypeScript
NA
NA
Dart; Python
C#
NA
NA
NA
NA
Groovy; Java; Smalltalk; SQL
C++; C#; JavaScript; R
C++; JavaScript
JavaScript; PHP; SQL
NA
NA
NA
Clojure; Elixir; Python; Ruby
Haskell; Rust; Scala
NA
Python
NA
C#; Elixir; F#; Go; Java; JavaScript; Rust; Scala; TypeScript
JavaScript; R
CoffeeScript; Dart; Go
C#; CoffeeScript; Go; JavaScript; Python; TypeScript
C#; JavaScript; TypeScript
NA
